name,building
,house
,yes
,house
,yes
,house
,house
,yes
,house
,house
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
Launch House,university
Class of 1887 Boathouse,university
Embodied Computation Lab,yes
Frick Chemistry Laboratory,university
,stadium
Commons,university
Cap and Gown Club,yes
Cloister Inn,yes
Charter Club,yes
Bobst Hall,university
Jadwin Gymnasium,yes
DeNunzio Pool,yes
Caldwell Field House,yes
,yes
,university
,house
,house
,yes
,house
,garage
Stadium Drive Garage,yes
Thermal Energy Storage Tank,storage_tank
Thermal Energy Storage Tank,storage_tank
T.I.G.E.R.,industrial
University NOW Day Nursery,school
Space Physics Group,university
Rubin Observatory Group,university
Office of Information Technology,university
,house
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,garage
,yes
114 Prospect Avenue,university
116 Prospect Avenue,university
,house
Prospect Apartments,dormitory
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,house
,house
,house
Von Neumann Lab,university
,yes
,house
,yes
,house
Maeder Hall,university
Bowen Hall,university
Prospect Avenue Garage,yes
Andlinger Center,university
A Wing,university
G Wing,university
D Wing,university
J Wing,university
,yes
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,residential
,residential
,house
,residential
,house
,residential
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,garage
,garage
,garage
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,garage
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,yes
,house
,yes
,house
,house
,yes
,house
,house
,house
172-190 Prospect Avenue,university
,house
,house
,house
,house
,house
,house
,house
,yes
,yes
,house
,yes
,house
,yes
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,yes
,yes
,yes
,yes
Le Kiosk,yes
,yes
Gulf,yes
,retail
Berlitz,yes
,house
Sunoco,retail
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,garage
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,garage
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,garage
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
